Year/Month,Germany,Denmark,Belgium,Bulgaria
2017M07,20056,1244,3501,1041
2017M06,20056,1244,3501,1041
2017M05,20056,1244,3501,1041
2017M04,20056,1244,3501,1041
2017M03,19878,1207,4731,992
2017M02,19878,1207,4731,992
2017M01,19878,1207,4731,992
2016M12,19823,1203,4718,989
2016M11,19823,1203,4718,989
2016M10,19823,1203,4718,989
2016M09,19823,1203,4718,989
2016M08,19823,1203,4718,989
2016M07,19823,1203,4718,989
2016M06,19823,1203,4718,989
2016M05,19823,1203,4718,989
2016M04,19823,1203,4718,989
2016M03,19389,1196,3410,929
2016M02,19389,1196,3410,929
2016M01,19389,1196,3410,929
2015M12,19442,1199,3420,931
2015M11,19442,1199,3420,931
2015M10,19442,1199,3420,931
2015M09,19442,1199,3420,931
2015M08,19442,1199,3420,931
2015M07,19442,1199,3420,931
2015M06,19442,1199,3420,931
2015M05,19442,1199,3420,931
2015M04,19442,1199,3420,931
2015M03,20455,1222,3470,869
2015M02,20455,1222,3470,869
2015M01,20455,1222,3470,869
2014M12,20455,1222,3470,869
2014M11,20455,1222,3470,869
2014M10,20455,1222,3470,869
2014M09,20455,1222,3470,869
2014M08,20455,1222,3470,869
2014M07,20455,1222,3470,869
2014M06,20455,1222,3470,869
2014M05,20455,1222,3470,869
2014M04,20455,1223,3470,869
2014M03,20050,1240,4318,918
2014M02,20050,1240,4318,918
2014M01,20050,1240,4318,918
2013M12,20050,1240,4318,918
2013M11,20050,1240,4318,918
2013M10,20050,1240,4318,918
2013M09,20050,1240,4318,918
2013M08,20050,1240,4318,918
2013M07,20050,1240,4318,918
2013M06,20050,1240,4318,918
2013M05,20050,1240,4318,918
2013M04,20050,1240,4318,918
2013M03,23201,1285,4417,828
2013M02,23201,1285,4417,828
2013M01,23201,1285,4417,828
